respondant_num,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Satisf,DM2,DM11
36,3,0,2,18,72,19200,1,0,100000,1,100000,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,3,10
37,1,3,1,20,114,12000,1,0,150000,1,150000,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,4,10
38,3,0,2,19,144,6500,1,1,5000,1,10000,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,6,9
39,3,1,1,20,132,21300,1,1,200000,1,200000,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,4,9
40,2,2,1,11,126,12000,1,0,10000,0,100000,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,7,16
41,2,1,2,19,108,10000,1,0,100000,0,20000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,7,9
42,2,1,2,21,40.6,5000,1,0,0,0,50000,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,5,9
43,2,0,3,21,66,3000,1,0,10000,1,10000,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,9
44,2,3,0,18,168,4200,1,1,50000,1,300000,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,6,16
45,2,1,2,20,84,46600,1,0,30000,1,50000,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,3,9
46,1,1,3,18,68,12600,1,0,8000,0,30000,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,9
47,2,3,0,20,120,2800,1,1,150000,1,200000,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,4,16
48,1,0,4,19,168,24200,1,1,200000,1,300000,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,5,9
49,3,1,1,20,114,2160,1,0,50000,1,100000,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,5,9
50,2,1,2,17,156,7000,1,1,300000,0,400000,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,2,9
51,0,5,0,19,124,1200,1,0,100000,1,30000,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,7,10
52,1,4,0,12,132,14000,1,0,50000,1,70000,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,4,10
53,3,2,0,17,41,12000,1,1,100000,1,100000,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,2,10
54,2,2,1,18,60,0,1,0,300000,1,300000,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,4,10
55,3,2,0,17,64,10000,0,0,30000,1,50000,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,4,10
56,1,3,1,15,144,16000,1,1,20000,1,20000,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,6,10
57,1,2,2,13,110,26000,1,0,130000,1,150000,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,5,10
58,1,2,2,20,60,3000,1,1,100000,1,200000,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,5,13
59,1,2,2,16,108,28100,0,0,400000,1,400000,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,5,10
60,2,2,1,16,150,12800,1,1,100000,1,70000,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,2,16
61,0,5,0,21,96,6000,0,0,50000,1,50000,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,4,10
62,2,3,0,15,438,26000,1,1,230000,0,500000,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,3,16
63,3,0,2,21,120,5600,0,1,100000,0,200000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,6,13
64,1,2,2,13,120,38000,1,0,100000,1,100000,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,5,10
65,3,0,2,18,156,13000,1,1,200000,0,300000,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,6,13
66,2,1,2,21,144,5000,1,1,40000,1,100000,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,3,16
67,3,1,1,19,96,2000,1,0,20000,1,20000,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,7,10
68,3,1,1,20,98,10000,1,0,50000,1,100000,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,2,10
69,3,1,1,20,70,300,1,1,10000,1,200000,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,4,9
70,2,0,3,14,222,26000,1,1,150000,1,150000,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,3,9
71,2,0,3,18,74,2660,1,1,100000,1,300000,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,2,9
72,2,3,0,19,138,12100,1,1,150000,0,300000,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,3,9
73,1,4,0,15,118,12610,0,0,50000,1,100000,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,4,1
74,4,1,0,20,86,6600,1,1,100000,1,200000,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,3,1
75,3,2,0,17,66,4040,1,1,100000,1,100000,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,3,1
76,4,1,0,21,132,10300,1,0,50000,1,100000,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,1
77,5,0,0,21,104,2140,1,1,20000,1,50000,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,6,1
78,3,2,0,18,100,20400,1,1,150000,1,300000,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,4,1
79,1,1,2,16,146,6420,1,0,30000,1,100000,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,5,1
80,4,0,1,22,110,1340,1,0,40000,0,100000,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,7,1
81,2,3,0,21,84,6000,1,0,50000,1,70000,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,4,1
82,4,0,1,22,102,2000,1,1,30000,1,50000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,7,1
83,1,3,1,15,214,54000,1,0,800000,1,800000,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,7,10
84,2,2,1,18,100,12000,1,0,200000,1,200000,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,6,10
85,0,1,4,15,142,46000,1,1,300000,1,400000,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,5,10
86,4,0,1,21,88,6000,1,0,250000,1,300000,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,2,10
87,0,2,3,17,96,8000,0,0,100000,1,100000,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,5,10
88,2,2,1,17,72,14000,1,0,70000,1,100000,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,10
89,3,2,0,18,84,20000,1,0,50000,1,70000,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,5,10
90,0,3,2,14,166,23200,1,1,150000,1,200000,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,6,15
91,1,2,2,13,576,55000,1,0,100000,1,100000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,6,15
92,3,0,2,11,204,47000,1,0,100000,1,150000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,5,15
93,0,1,4,15,156,12000,1,1,50000,1,50000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,7,15
94,1,1,3,21,132,10700,1,1,50000,1,100000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,7,15
95,0,2,3,22,96,900,1,1,50000,1,50000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,6,15
96,1,1,3,13,180,86000,1,1,50000,1,100000,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,2,9
97,1,1,3,12,282,20100,1,1,100000,1,200000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,6,15
98,1,2,2,21,108,7500,1,1,50000,1,50000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,6,15
99,1,2,2,15,120,14500,1,0,50000,1,50000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,6,15
100,2,3,0,10,162,21000,1,1,150000,1,300000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,6,15
101,4,1,0,20,60,800,1,0,20000,1,50000,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,7,13
102,3,0,2,22,75,620,1,1,150000,1,70000,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,4
103,1,1,3,15,150,21600,1,1,30000,1,30000,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,5,4
104,3,2,0,20,45,0,1,0,50000,0,100000,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,7,13
105,2,2,1,18,112,16000,1,0,100000,1,100000,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,6,10
106,2,2,1,18,118,6000,1,0,50000,1,100000,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,6,10
107,1,2,2,18,108,21000,1,0,500000,1,500000,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,6,10
108,1,3,1,14,150,54000,1,0,250000,1,300000,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,3,10
109,0,2,3,18,192,22000,1,0,300000,1,300000,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,5,10
110,2,2,1,17,102,20000,1,0,100000,1,100000,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,3,10
111,2,2,1,15,76,6000,1,0,100000,1,150000,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,3,10
112,4,1,0,21,26.6,0,1,0,30000,0,50000,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,10
113,3,1,1,21,24.6,0,1,0,20000,1,30000,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,10
114,2,2,1,19,102,1000,0,1,50000,1,50000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,7,10
115,0,2,3,19,120,30000,0,1,100000,1,100000,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,4,10
116,0,2,3,19,84,10000,1,1,50000,1,50000,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,5,10
117,5,0,0,18,150,7000,1,1,200000,0,400000,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,2,10
118,1,1,3,15,256,23400,1,1,150000,1,200000,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,6,15
119,4,0,1,19,150,6400,1,1,30000,0,100000,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,7,15
120,2,1,2,20,162,5700,0,1,50000,0,100000,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,7,15
121,3,1,1,19,120,2100,1,1,30000,1,50000,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,7,9
122,1,1,3,19,132,9000,0,1,100000,1,30000,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,2,10
123,3,2,0,22,91,12040,1,1,30000,1,30000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,6,9
124,1,4,0,17,120,34000,0,0,150000,1,100000,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,3,9
125,2,1,2,21,51,4040,1,0,60000,1,100000,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,4,9
126,2,0,3,19,96,2000,0,1,10000,1,50000,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,5,16
127,0,0,5,14,180,104000,1,1,200000,0,500000,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,5,16
128,0,5,0,16,100,16400,1,1,200000,0,250000,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,4,5
129,2,1,2,18,78,4400,1,1,100000,0,100000,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,2,16
130,1,3,1,16,158,12000,0,1,30000,0,100000,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,6,9
131,0,2,3,15,160,18600,1,1,50000,1,50000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,4,5
132,0,5,0,14,150,16600,1,0,100000,1,150000,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,2,5
133,2,3,0,15,146,18800,1,0,100000,0,150000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,5,5
134,1,1,3,21,104,4600,1,1,30000,1,50000,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,3,5
135,1,3,1,21,132,5200,1,0,70000,0,100000,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,3,5
136,1,4,0,18,104,1800,1,0,50000,1,100000,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,2,5
137,0,3,2,18,98,18200,1,1,300000,1,350000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,3,5
138,0,4,1,20,118,7400,1,0,10000,0,150000,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,3,5
139,0,3,2,19,104,26600,1,1,300000,1,300000,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,4,5
140,1,1,3,17,88,17800,1,1,300000,1,300000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,4,13
141,3,1,1,21,126,2000,1,1,50000,1,50000,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,7,16
142,0,3,2,14,264,26200,0,1,150000,1,150000,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,4,9
143,3,0,2,23,84,400,1,1,20000,1,100000,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,7,16
144,1,4,0,23,58,1019.8,1,1,150000,1,200000,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,6,16
145,4,1,0,24,68,19.8,1,1,100000,1,120000,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,2,16
146,3,2,0,23,34,0,1,1,120000,1,250000,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,4,16
147,3,2,0,23,72,4000,1,1,200000,1,250000,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,4,16
148,2,3,0,12,240,26500,1,1,30000,1,50000,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,7,15
149,5,0,0,18,78,3400,1,1,60000,1,100000,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,6,16
150,4,1,0,24,30,400,1,1,100000,1,200000,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,3,16
151,3,2,0,21,78,30900,1,1,300000,0,300000,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,4,15
152,1,4,0,21,60,1080,1,1,50000,1,50000,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,7,16
153,4,0,1,20,128,2300,1,0,20000,1,50000,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,7,15
154,4,0,1,21,126,1400,1,0,50000,0,100000,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,7,15
155,4,1,0,20,78,3000,1,1,200000,1,200000,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,6,9
156,2,0,3,18,122,10000,1,1,300000,1,300000,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,9
157,2,2,1,21,114,21100,1,0,300000,1,500000,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,2,15
158,3,1,1,20,150,1800,1,0,30000,1,100000,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,7,16
159,2,1,2,22,66,800,1,0,100000,1,200000,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,2,16
160,1,1,3,20,126,5600,0,0,50000,1,50000,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,7,15
161,3,1,1,22,138,3000,1,0,10000,0,100000,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,5,9
162,5,0,0,13,66,14000,1,1,100000,1,50000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,5,9
163,1,3,1,18,150,18420,1,0,100000,1,100000,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,7,15
164,3,0,2,22,42,400,1,0,40000,0,100000,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,16
165,0,2,3,18,214,19000,1,1,150000,1,150000,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,3,9
166,3,0,2,16,216,22000,1,1,300000,1,500000,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,2,9
167,1,4,0,20,192,26100,1,1,300000,1,300000,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,3,9
168,1,4,0,16,144,14600,1,1,350000,1,500000,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,6,9
